University,Topic,Question,Expected_Answer
Govind Ballabh Pant University of Agriculture and Technology,Academics,What is the attendance rule at Govind Ballabh Pant University of Agriculture and Technology?,The attendance rule at Govind Ballabh Pant University of Agriculture and Technology is Minimum 75% attendance mandatory.
Guru Ghasidas University,Fees,What is the tuition fee for Guru Ghasidas University?,The tuition fee for Guru Ghasidas University is 118891 per semester.
Guru Ghasidas University,Placements,What is the highest placement package at Guru Ghasidas University?,The highest placement package at Guru Ghasidas University is 22.8 Lakh Per Annum.
Guru Ghasidas University,Facilities,Does Guru Ghasidas University have a hostel and what is the fee?,"Yes, Guru Ghasidas University has a hostel for both boys and girls. The fee is 64673 and the mess fee is 38398."
Guru Ghasidas University,Facilities,What are the library timings for Guru Ghasidas University?,The library timings for Guru Ghasidas University are 8:00 AM to 8:00 PM.
Guru Ghasidas University,Academics,What is the attendance rule at Guru Ghasidas University?,The attendance rule at Guru Ghasidas University is Minimum 75% attendance mandatory.
Gokhale Institute of Politics and Economics,Fees,What is the tuition fee for Gokhale Institute of Politics and Economics?,The tuition fee for Gokhale Institute of Politics and Economics is 96349 per semester.
Gokhale Institute of Politics and Economics,Placements,What is the highest placement package at Gokhale Institute of Politics and Economics?,The highest placement package at Gokhale Institute of Politics and Economics is 21.9 Lakh Per Annum.
Gokhale Institute of Politics and Economics,Facilities,Does Gokhale Institute of Politics and Economics have a hostel and what is the fee?,"Yes, Gokhale Institute of Politics and Economics has a hostel for both boys and girls. The fee is 46972 and the mess fee is 31201."
Gokhale Institute of Politics and Economics,Facilities,What are the library timings for Gokhale Institute of Politics and Economics?,The library timings for Gokhale Institute of Politics and Economics are 8:00 AM to 8:00 PM.
Gokhale Institute of Politics and Economics,Academics,What is the attendance rule at Gokhale Institute of Politics and Economics?,The attendance rule at Gokhale Institute of Politics and Economics is Minimum 75% attendance mandatory.
Gandhi Institute of Technology and Managment,Fees,What is the tuition fee for Gandhi Institute of Technology and Managment?,The tuition fee for Gandhi Institute of Technology and Managment is 113678 per semester.
Gandhi Institute of Technology and Managment,Placements,What is the highest placement package at Gandhi Institute of Technology and Managment?,The highest placement package at Gandhi Institute of Technology and Managment is 39.9 Lakh Per Annum.
Gandhi Institute of Technology and Managment,Facilities,Does Gandhi Institute of Technology and Managment have a hostel and what is the fee?,"Yes, Gandhi Institute of Technology and Managment has a hostel for both boys and girls. The fee is 75660 and the mess fee is 34461."
Gandhi Institute of Technology and Managment,Facilities,What are the library timings for Gandhi Institute of Technology and Managment?,The library timings for Gandhi Institute of Technology and Managment are 8:00 AM to 8:00 PM.
Gandhi Institute of Technology and Managment,Academics,What is the attendance rule at Gandhi Institute of Technology and Managment?,The attendance rule at Gandhi Institute of Technology and Managment is Minimum 75% attendance mandatory.
Guru Jambeshwar University,Fees,What is the tuition fee for Guru Jambeshwar University?,The tuition fee for Guru Jambeshwar University is 43571 per semester.
Guru Jambeshwar University,Placements,What is the highest placement package at Guru Jambeshwar University?,The highest placement package at Guru Jambeshwar University is 25.3 Lakh Per Annum.
Guru Jambeshwar University,Facilities,Does Guru Jambeshwar University have a hostel and what is the fee?,"Yes, Guru Jambeshwar University has a hostel for both boys and girls. The fee is 51052 and the mess fee is 32840."
Guru Jambeshwar University,Facilities,What are the library timings for Guru Jambeshwar University?,The library timings for Guru Jambeshwar University are 8:00 AM to 8:00 PM.
Guru Jambeshwar University,Academics,What is the attendance rule at Guru Jambeshwar University?,The attendance rule at Guru Jambeshwar University is Minimum 75% attendance mandatory.
Gurukula Kangri University,Fees,What is the tuition fee for Gurukula Kangri University?,The tuition fee for Gurukula Kangri University is 102386 per semester.
Gurukula Kangri University,Placements,What is the highest placement package at Gurukula Kangri University?,The highest placement package at Gurukula Kangri University is 34.0 Lakh Per Annum.
Gurukula Kangri University,Facilities,Does Gurukula Kangri University have a hostel and what is the fee?,"Yes, Gurukula Kangri University has a hostel for both boys and girls. The fee is 76684 and the mess fee is 29735."
Gurukula Kangri University,Facilities,What are the library timings for Gurukula Kangri University?,The library timings for Gurukula Kangri University are 8:00 AM to 8:00 PM.
Gurukula Kangri University,Academics,What is the attendance rule at Gurukula Kangri University?,The attendance rule at Gurukula Kangri University is Minimum 75% attendance mandatory.
Guru Nanak Dev University,Fees,What is the tuition fee for Guru Nanak Dev University?,The tuition fee for Guru Nanak Dev University is 135284 per semester.
Guru Nanak Dev University,Placements,What is the highest placement package at Guru Nanak Dev University?,The highest placement package at Guru Nanak Dev University is 22.4 Lakh Per Annum.
Guru Nanak Dev University,Facilities,Does Guru Nanak Dev University have a hostel and what is the fee?,"Yes, Guru Nanak Dev University has a hostel for both boys and girls. The fee is 52390 and the mess fee is 31202."
Guru Nanak Dev University,Facilities,What are the library timings for Guru Nanak Dev University?,The library timings for Guru Nanak Dev University are 8:00 AM to 8:00 PM.
Guru Nanak Dev University,Academics,What is the attendance rule at Guru Nanak Dev University?,The attendance rule at Guru Nanak Dev University is Minimum 75% attendance mandatory.
"Global Open University , Nagaland",Fees,"What is the tuition fee for Global Open University , Nagaland?","The tuition fee for Global Open University , Nagaland is 123602 per semester."
"Global Open University , Nagaland",Placements,"What is the highest placement package at Global Open University , Nagaland?","The highest placement package at Global Open University , Nagaland is 27.9 Lakh Per Annum."
"Global Open University , Nagaland",Facilities,"Does Global Open University , Nagaland have a hostel and what is the fee?","Yes, Global Open University , Nagaland has a hostel for both boys and girls. The fee is 78942 and the mess fee is 37382."
"Global Open University , Nagaland",Facilities,"What are the library timings for Global Open University , Nagaland?","The library timings for Global Open University , Nagaland are 8:00 AM to 8:00 PM."
"Global Open University , Nagaland",Academics,"What is the attendance rule at Global Open University , Nagaland?","The attendance rule at Global Open University , Nagaland is Minimum 75% attendance mandatory."
Gujarat Technological University Ahmedabad,Fees,What is the tuition fee for Gujarat Technological University Ahmedabad?,The tuition fee for Gujarat Technological University Ahmedabad is 74335 per semester.
Gujarat Technological University Ahmedabad,Placements,What is the highest placement package at Gujarat Technological University Ahmedabad?,The highest placement package at Gujarat Technological University Ahmedabad is 43.0 Lakh Per Annum.
Gujarat Technological University Ahmedabad,Facilities,Does Gujarat Technological University Ahmedabad have a hostel and what is the fee?,"Yes, Gujarat Technological University Ahmedabad has a hostel for both boys and girls. The fee is 63190 and the mess fee is 42510."
Gujarat Technological University Ahmedabad,Facilities,What are the library timings for Gujarat Technological University Ahmedabad?,The library timings for Gujarat Technological University Ahmedabad are 8:00 AM to 8:00 PM.
Gujarat Technological University Ahmedabad,Academics,What is the attendance rule at Gujarat Technological University Ahmedabad?,The attendance rule at Gujarat Technological University Ahmedabad is Minimum 75% attendance mandatory.
